0.955,1.094,2.922,0.0,-1.0
0.014,0.398,2.158,0.5,1.0
1.082,1.038,-1.651,1.0,1.0
0.483,1.254,1.596,0.0,0.0
0.5,1.55,2.515,1.0,0.0
0.05,1.708,-1.846,0.5,1.0
0.589,0.892,-1.78,0.5,0.0
1.134,0.835,-0.742,0.5,1.0
0.491,0.081,0.263,1.0,-1.0
0.95,0.931,1.579,0.5,-1.0
1.438,1.627,0.164,0.5,1.0
0.801,0.086,1.941,1.0,1.0
0.967,0.028,-2.332,1.0,-1.0
1.614,1.761,-1.454,0.5,0.0
0.142,1.296,-2.174,0.5,1.0
0.342,0.806,-1.448,0.5,0.0
1.883,1.341,1.482,0.5,-1.0
0.955,0.923,-2.195,1.0,1.0
1.796,1.564,0.293,1.0,-1.0
0.102,1.71,-2.531,0.0,-1.0
0.918,1.686,2.384,0.0,0.0
0.242,0.51,-1.19,0.5,0.0
0.441,1.847,-1.81,0.5,-1.0
1.143,0.622,1.966,1.0,1.0
1.365,1.878,-1.008,1.0,1.0
0.428,1.784,1.764,0.0,-1.0
0.423,0.444,-0.695,1.0,1.0
1.187,1.799,-2.686,1.0,1.0
0.509,1.139,-1.413,1.0,1.0
0.815,1.339,-0.672,1.0,0.0
1.067,1.779,-2.22,1.0,0.0
0.527,1.01,1.48,0.5,-1.0
0.591,0.459,0.792,1.0,0.0
1.679,1.122,0.766,0.0,0.0
1.774,1.114,1.783,0.0,-1.0
0.19,1.135,-3.097,0.5,-1.0
1.871,0.278,-0.847,0.0,-1.0
0.465,0.034,0.697,1.0,0.0
0.592,0.921,-0.803,1.0,0.0
0.348,0.831,-2.346,1.0,-1.0
0.118,0.81,-1.818,0.5,0.0
1.602,0.672,1.455,1.0,-1.0
1.179,1.359,1.486,0.5,1.0
0.0,1.856,-0.079,0.5,1.0
1.11,0.836,-1.328,0.5,0.0
0.21,0.563,1.679,0.5,-1.0
0.05,1.732,3.063,0.0,0.0
0.22,1.863,1.251,0.0,0.0
0.265,1.899,-1.114,0.0,0.0
0.343,1.74,2.629,0.5,-1.0
0.244,0.992,0.67,1.0,1.0
1.227,0.439,2.054,1.0,-1.0
0.573,1.992,1.228,0.0,1.0
0.456,1.915,0.711,0.0,0.0
0.651,0.889,-0.499,0.5,-1.0
0.395,0.545,-2.883,1.0,0.0
0.77,0.493,1.102,1.0,-1.0
1.454,1.169,1.374,0.5,0.0
0.495,1.484,-1.14,1.0,1.0
1.965,1.483,-0.123,0.5,0.0
1.009,0.974,2.179,0.5,1.0
0.845,0.353,2.432,0.0,0.0
1.346,1.87,2.104,1.0,-1.0
0.329,1.731,-1.389,1.0,-1.0
0.91,1.231,-0.872,0.5,1.0
0.292,1.665,-3.078,0.0,1.0
0.549,0.632,1.324,0.0,-1.0
0.391,0.175,-0.885,0.5,1.0
1.113,0.542,0.123,1.0,-1.0
1.637,1.954,1.807,0.5,1.0
1.058,1.476,2.509,0.0,0.0
1.736,0.874,-1.43,0.0,0.0
1.582,0.099,-2.049,1.0,0.0
1.49,0.785,0.072,0.0,1.0
0.764,1.953,0.566,0.0,1.0
1.847,0.31,1.432,1.0,1.0
1.203,0.074,-0.155,1.0,1.0
1.855,1.248,1.051,1.0,-1.0
0.522,1.018,-2.559,0.5,1.0
0.217,0.251,1.328,0.5,1.0
