1.538,0.071
0.923,0.235
1.205,1.409
1.79,0.383
1.287,2.0
1.498,0.078
0.217,1.294
0.663,0.502
1.897,0.757
1.347,0.192
0.892,0.537
0.855,0.383
1.846,0.201
0.883,1.829
1.843,1.344
1.547,1.079
1.102,1.024
0.234,0.027
0.67,0.482
0.515,1.357
1.344,0.224
1.855,0.31
0.129,0.325
1.459,0.869
0.297,0.61
0.277,0.381
0.765,0.166
1.544,0.814
0.862,0.501
0.283,0.459
0.032,0.312
1.708,1.697
0.44,1.34
1.201,0.288
1.198,0.821
1.723,1.451
1.907,1.801
1.689,1.007
1.975,0.638
0.174,0.107
1.184,0.755
0.428,0.786
0.848,0.453
1.086,0.145
0.641,0.888
1.045,1.468
0.488,1.756
1.456,1.973
0.651,0.773
1.337,0.613
0.234,1.966
1.598,1.733
1.43,1.815
1.545,0.724
0.662,0.274
0.32,0.669
1.033,0.567
0.693,1.897
0.793,0.175
0.562,1.445
1.669,0.636
0.118,1.01
1.142,1.003
1.639,1.818
1.094,1.631
1.777,0.172
1.36,1.919
0.754,1.796
1.537,1.382
1.868,1.188
0.75,1.119
1.7,0.449
1.667,0.046
0.912,1.67
0.278,0.493
0.814,1.773
1.81,0.693
0.682,1.802
0.95,1.489
0.142,1.15
1.533,1.099
0.244,1.42
1.056,0.865
1.506,0.975
0.41,0.094
0.549,1.174
1.166,0.266
0.811,0.983
1.072,0.432
1.725,0.331
0.383,0.254
1.891,1.748
0.966,0.988
0.177,1.135
1.62,1.468
0.286,0.241
1.262,1.479
0.882,1.812
0.553,0.276
1.753,1.431
1.29,1.068
0.678,1.322
0.062,1.6
1.21,0.047
1.32,1.272
0.376,1.367
1.002,0.899
1.469,0.962
0.105,0.714
0.601,0.965
1.056,0.277
1.918,0.501
0.925,1.853
1.506,0.426
0.818,0.694
1.156,0.809
0.414,0.294
1.187,1.528
0.559,0.034
1.128,0.263
1.66,1.178
0.659,1.522
1.005,0.987
1.747,0.651
0.021,0.865
0.437,0.9
0.871,1.867
0.305,0.501
0.859,0.394
0.009,1.314
1.904,0.633
0.673,0.364
0.637,0.962
1.226,1.312
1.746,1.829
1.212,0.607
1.876,0.382
0.907,0.107
1.91,1.2
0.208,0.208
1.077,1.856
1.834,0.692
0.469,0.946
1.463,0.382
0.834,1.918
1.045,1.443
1.887,0.384
1.938,1.027
0.966,1.163
1.002,0.412
1.058,1.827
0.825,0.305
0.284,1.875
0.963,0.514
1.612,0.602
0.936,0.693
0.662,1.573
0.224,0.184
0.499,0.596
1.285,0.04
0.126,1.391
0.114,1.062
0.678,1.847
1.597,0.505
1.7,0.425
1.197,1.132
0.495,1.684
1.916,0.893
1.467,1.991
0.874,0.866
1.359,0.841
1.8,1.98
0.264,1.756
1.862,0.829
1.956,0.371
0.155,0.754
0.366,1.827
0.479,1.931
1.737,1.541
0.476,0.218
1.518,0.822
0.756,1.072
1.692,1.572
0.89,0.821
0.167,1.687
1.999,1.423
0.632,0.382
1.974,0.303
1.883,1.993
0.34,1.196
1.889,0.529
0.152,1.916
1.492,0.488
1.199,1.195
0.603,1.277
0.765,0.949
0.59,1.798
1.057,1.492
0.653,0.631
0.057,1.673
1.938,0.726
1.799,1.123
1.475,1.342
1.701,1.337
0.148,1.037
0.906,1.299
0.879,0.518
1.534,0.371
1.627,0.209
0.647,1.058
0.995,1.72
1.766,0.2
0.212,0.963
0.812,0.467
0.371,0.616
1.567,1.343
0.12,1.125
1.17,0.816
0.345,1.339
1.777,0.506
0.339,1.313
1.006,1.801
0.165,1.128
1.344,1.549
1.674,1.107
0.385,1.248
1.859,1.515
1.548,0.351
0.877,1.95
0.06,1.22
0.722,1.922
0.047,1.772
0.378,0.527
0.282,0.812
0.859,1.595
1.19,1.921
1.327,1.69
0.275,1.082
0.056,1.499
0.035,0.138
1.501,0.136
1.031,0.27
0.035,1.655
0.486,1.077
0.857,1.285
0.78,1.261
0.425,0.34
